H_num,datetime,prev_H,curr_H,change_pct,pattern
2,2020-03-25 16:45:00,6745.5,6695.5,-0.7412348973389667,LH (Lower High)
3,2020-03-26 00:15:00,6695.5,6767.0,1.067881412889254,HH (Higher High)
4,2020-03-26 04:00:00,6767.0,6751.0,-0.2364415546032215,LH (Lower High)
5,2020-03-26 13:30:00,6751.0,6675.5,-1.1183528366167974,LH (Lower High)
6,2020-03-26 17:00:00,6675.5,6675.0,-0.007490075649764063,LH (Lower High)
7,2020-03-27 00:15:00,6675.0,6838.0,2.4419475655430714,HH (Higher High)
8,2020-03-27 07:45:00,6838.0,6720.0,-1.7256507750804329,LH (Lower High)
9,2020-03-27 11:30:00,6720.0,6686.5,-0.4985119047619047,LH (Lower High)
10,2020-03-27 19:15:00,6686.5,6680.0,-0.09721079787631795,LH (Lower High)
11,2020-03-28 11:00:00,6680.0,6300.0,-5.688622754491018,LH (Lower High)
12,2020-03-28 15:00:00,6300.0,6268.0,-0.5079365079365079,LH (Lower High)
13,2020-03-28 20:30:00,6268.0,6288.5,0.32705807275047866,HH (Higher High)
14,2020-03-29 10:45:00,6288.5,6204.5,-1.3357716466565952,LH (Lower High)
15,2020-03-29 16:15:00,6204.5,6153.5,-0.821984043839149,LH (Lower High)
16,2020-03-30 07:15:00,6153.5,6321.5,2.7301535711383766,HH (Higher High)
17,2020-03-30 11:30:00,6321.5,6386.0,1.0203274539270744,HH (Higher High)
18,2020-03-30 15:30:00,6386.0,6430.5,0.696836830566865,HH (Higher High)
19,2020-03-30 22:30:00,6430.5,6577.5,2.285980872404945,HH (Higher High)
20,2020-03-31 08:30:00,6577.5,6497.5,-1.2162675788673507,LH (Lower High)
21,2020-03-31 15:15:00,6497.5,6494.5,-0.0461716044632551,LH (Lower High)
22,2020-03-31 20:00:00,6494.5,6490.0,-0.06928939872199553,LH (Lower High)
23,2020-04-01 03:45:00,6490.0,6372.0,-1.8181818181818181,LH (Lower High)
24,2020-04-01 12:00:00,6372.0,6333.0,-0.6120527306967984,LH (Lower High)
25,2020-04-02 00:00:00,6333.0,6739.5,6.418758882046423,HH (Higher High)
26,2020-04-02 04:00:00,6739.5,6628.5,-1.6470064544847542,LH (Lower High)
27,2020-04-02 07:15:00,6628.5,6673.0,0.671343441200875,HH (Higher High)
28,2020-04-02 17:00:00,6673.0,7230.5,8.354563164993255,HH (Higher High)
29,2020-04-03 10:45:00,7230.5,7044.0,-2.5793513588271906,LH (Lower High)
30,2020-04-03 20:00:00,7044.0,6810.0,-3.321976149914821,LH (Lower High)
31,2020-04-04 01:00:00,6810.0,6801.5,-0.1248164464023495,LH (Lower High)
32,2020-04-04 05:30:00,6801.5,6764.5,-0.5439976475777402,LH (Lower High)
33,2020-04-04 11:00:00,6764.5,6899.0,1.9883213836942863,HH (Higher High)
34,2020-04-04 17:00:00,6899.0,6801.5,-1.4132482968546167,LH (Lower High)
35,2020-04-04 20:30:00,6801.5,7012.0,3.09490553554363,HH (Higher High)
36,2020-04-05 00:00:00,7012.0,6889.0,-1.7541357672561324,LH (Lower High)
37,2020-04-05 09:15:00,6889.0,6820.0,-1.0015967484395414,LH (Lower High)
38,2020-04-05 17:45:00,6820.0,6848.0,0.41055718475073316,HH (Higher High)
39,2020-04-06 01:00:00,6848.0,6884.5,0.5330023364485981,HH (Higher High)
40,2020-04-06 12:30:00,6884.5,7158.0,3.9726922797588786,HH (Higher High)
41,2020-04-06 19:45:00,7158.0,7298.0,1.9558535903883765,HH (Higher High)
42,2020-04-07 00:30:00,7298.0,7448.0,2.0553576322280076,HH (Higher High)
43,2020-04-07 12:15:00,7448.0,7458.5,0.14097744360902253,HH (Higher High)
44,2020-04-07 16:45:00,7458.5,7379.0,-1.0658979687604746,LH (Lower High)
45,2020-04-08 06:00:00,7379.0,7417.0,0.5149749288521479,HH (Higher High)
46,2020-04-08 12:00:00,7417.0,7338.5,-1.0583793986787111,LH (Lower High)
47,2020-04-08 17:15:00,7338.5,7346.5,0.10901410369966613,HH (Higher High)
48,2020-04-09 08:00:00,7346.5,7344.0,-0.03402981011365957,LH (Lower High)
49,2020-04-09 14:00:00,7344.0,7342.5,-0.02042483660130719,LH (Lower High)
50,2020-04-09 22:00:00,7342.5,7310.0,-0.44262853251617296,LH (Lower High)
51,2020-04-10 19:00:00,7310.0,6943.0,-5.020519835841313,LH (Lower High)
52,2020-04-11 04:15:00,6943.0,6938.0,-0.07201497911565605,LH (Lower High)
53,2020-04-11 11:15:00,6938.0,6886.5,-0.7422888440472759,LH (Lower High)
54,2020-04-12 00:00:00,6886.5,6906.0,0.2831627096493139,HH (Higher High)
55,2020-04-12 05:45:00,6906.0,6838.0,-0.9846510280915146,LH (Lower High)
