L_num,datetime,prev_L,curr_L,change_pct,pattern
2,2020-03-26 02:30:00,6556.0,6655.0,1.5100671140939599,HL (Higher Low)
3,2020-03-26 07:45:00,6655.0,6555.0,-1.5026296018031555,LL (Lower Low)
4,2020-03-26 13:30:00,6555.0,6512.0,-0.6559877955758963,LL (Lower Low)
5,2020-03-27 05:45:00,6512.0,6616.5,1.6047297297297296,HL (Higher Low)
6,2020-03-27 13:45:00,6616.5,6573.0,-0.6574472908637498,LL (Lower Low)
7,2020-03-28 00:00:00,6573.0,6196.0,-5.735584968811805,LL (Lower Low)
8,2020-03-28 03:30:00,6196.0,6084.5,-1.7995480955455132,LL (Lower Low)
9,2020-03-28 13:15:00,6084.5,6149.0,1.0600706713780919,HL (Higher Low)
10,2020-03-28 17:45:00,6149.0,6010.0,-2.2605301675069116,LL (Lower Low)
11,2020-03-29 12:00:00,6010.0,6059.5,0.8236272878535773,HL (Higher Low)
12,2020-03-29 16:30:00,6059.5,6042.0,-0.28880270649393514,LL (Lower Low)
13,2020-03-29 20:15:00,6042.0,5858.0,-3.0453492221118834,LL (Lower Low)
14,2020-03-30 00:00:00,5858.0,5841.5,-0.2816660976442472,LL (Lower Low)
15,2020-03-30 14:00:00,5841.5,6274.0,7.403920225969357,HL (Higher Low)
16,2020-03-31 04:45:00,6274.0,6373.0,1.5779407076824994,HL (Higher Low)
17,2020-03-31 12:00:00,6373.0,6323.5,-0.7767142632982896,LL (Lower Low)
18,2020-03-31 17:30:00,6323.5,6397.5,1.170238001106982,HL (Higher Low)
19,2020-04-01 00:30:00,6397.5,6243.5,-2.4071903087143416,LL (Lower Low)
20,2020-04-01 06:15:00,6243.5,6262.0,0.2963081604869064,HL (Higher Low)
21,2020-04-01 13:30:00,6262.0,6156.5,-1.6847652507186204,LL (Lower Low)
22,2020-04-01 16:30:00,6156.5,6145.0,-0.18679444489563876,LL (Lower Low)
23,2020-04-02 05:15:00,6145.0,6560.5,6.761594792514239,HL (Higher Low)
24,2020-04-02 11:00:00,6560.5,6606.5,0.7011660696593248,HL (Higher Low)
25,2020-04-02 20:15:00,6606.5,6644.0,0.5676227957314766,HL (Higher Low)
26,2020-04-03 01:00:00,6644.0,6723.5,1.1965683323299217,HL (Higher Low)
27,2020-04-03 05:15:00,6723.5,6745.0,0.3197739272700231,HL (Higher Low)
28,2020-04-03 16:15:00,6745.0,6604.5,-2.083024462564863,LL (Lower Low)
29,2020-04-03 21:00:00,6604.5,6666.0,0.9311832841244606,HL (Higher Low)
30,2020-04-04 03:15:00,6666.0,6665.0,-0.015001500150015003,LL (Lower Low)
31,2020-04-04 11:30:00,6665.0,6646.0,-0.28507126781695424,LL (Lower Low)
32,2020-04-04 19:15:00,6646.0,6723.0,1.1585916340656035,HL (Higher Low)
33,2020-04-05 06:30:00,6723.0,6743.0,0.29748624126134166,HL (Higher Low)
34,2020-04-05 10:45:00,6743.0,6740.0,-0.04449058282663503,LL (Lower Low)
35,2020-04-05 17:15:00,6740.0,6680.0,-0.8902077151335311,LL (Lower Low)
36,2020-04-05 21:00:00,6680.0,6720.0,0.5988023952095809,HL (Higher Low)
37,2020-04-06 13:30:00,6720.0,7039.5,4.754464285714286,HL (Higher Low)
38,2020-04-07 04:30:00,7039.5,7224.0,2.6209247815896015,HL (Higher Low)
39,2020-04-07 14:45:00,7224.0,7254.0,0.41528239202657813,HL (Higher Low)
40,2020-04-07 20:15:00,7254.0,7072.5,-2.5020678246484698,LL (Lower Low)
41,2020-04-08 10:45:00,7072.5,7215.0,2.014846235418876,HL (Higher Low)
42,2020-04-08 13:45:00,7215.0,7196.0,-0.26334026334026334,LL (Lower Low)
43,2020-04-08 19:15:00,7196.0,7264.5,0.951917732073374,HL (Higher Low)
44,2020-04-09 04:00:00,7264.5,7236.5,-0.38543602450271874,LL (Lower Low)
45,2020-04-09 12:00:00,7236.5,7123.0,-1.5684377806950873,LL (Lower Low)
46,2020-04-09 15:45:00,7123.0,7255.0,1.8531517618980766,HL (Higher Low)
47,2020-04-09 18:45:00,7255.0,7229.5,-0.35148173673328736,LL (Lower Low)
48,2020-04-10 07:00:00,7229.5,6866.5,-5.021094128224635,LL (Lower Low)
49,2020-04-10 09:45:00,6866.5,6854.0,-0.18204325347702613,LL (Lower Low)
50,2020-04-10 15:30:00,6854.0,6741.5,-1.6413772979282168,LL (Lower Low)
51,2020-04-10 23:15:00,6741.5,6816.0,1.1050953051991397,HL (Higher Low)
52,2020-04-11 09:30:00,6816.0,6830.5,0.21273474178403756,HL (Higher Low)
53,2020-04-11 20:15:00,6830.5,6760.0,-1.0321352756020787,LL (Lower Low)
54,2020-04-12 04:00:00,6760.0,6780.0,0.2958579881656805,HL (Higher Low)
55,2020-04-13 00:30:00,6780.0,6557.0,-3.289085545722714,LL (Lower Low)
56,2020-04-13 04:00:00,6557.0,6634.0,1.1743175232575873,HL (Higher Low)
57,2020-04-13 09:30:00,6634.0,6651.0,0.25625565269822126,HL (Higher Low)
58,2020-04-14 01:00:00,6651.0,6801.5,2.262817621410314,HL (Higher Low)
59,2020-04-14 08:00:00,6801.5,6752.5,-0.7204293170624128,LL (Lower Low)
60,2020-04-14 20:30:00,6752.5,6828.5,1.1255090707145503,HL (Higher Low)
61,2020-04-15 00:00:00,6828.5,6804.0,-0.35879036391594055,LL (Lower Low)
62,2020-04-15 12:45:00,6804.0,6677.0,-1.8665490887713112,LL (Lower Low)
63,2020-04-15 16:00:00,6677.0,6683.0,0.08986071589036992,HL (Higher Low)
64,2020-04-16 00:15:00,6683.0,6465.5,-3.254526410294778,LL (Lower Low)
65,2020-04-16 16:30:00,6465.5,6955.0,7.570953522542727,HL (Higher Low)
66,2020-04-16 20:00:00,6955.0,6960.0,0.07189072609633358,HL (Higher Low)
67,2020-04-17 00:00:00,6960.0,7017.5,0.8261494252873564,HL (Higher Low)
68,2020-04-17 04:45:00,7017.5,7017.5,0.0,같음
69,2020-04-17 13:30:00,7017.5,6982.0,-0.5058781617385109,LL (Lower Low)
70,2020-04-18 10:15:00,6982.0,7051.5,0.9954167860211974,HL (Higher Low)
71,2020-04-18 16:30:00,7051.5,7157.5,1.503226263915479,HL (Higher Low)
72,2020-04-19 00:15:00,7157.5,7179.5,0.30736989172197,HL (Higher Low)
73,2020-04-19 06:00:00,7179.5,7101.0,-1.0933909046590988,LL (Lower Low)
74,2020-04-19 14:00:00,7101.0,7047.0,-0.7604562737642585,LL (Lower Low)
75,2020-04-20 00:00:00,7047.0,7085.5,0.5463317723854122,HL (Higher Low)
76,2020-04-20 12:00:00,7085.5,6909.0,-2.491002752099358,LL (Lower Low)
77,2020-04-20 20:00:00,6909.0,6750.0,-2.301346070343031,LL (Lower Low)
78,2020-04-21 00:00:00,6750.0,6812.0,0.9185185185185185,HL (Higher Low)
79,2020-04-21 04:15:00,6812.0,6827.5,0.22753963593658252,HL (Higher Low)
80,2020-04-21 11:15:00,6827.5,6759.5,-0.9959721713658001,LL (Lower Low)
81,2020-04-22 17:45:00,6759.5,7064.5,4.512168059767734,HL (Higher Low)
82,2020-04-23 06:45:00,7064.5,7015.0,-0.7006865312477882,LL (Lower Low)
83,2020-04-23 23:30:00,7015.0,7433.0,5.958660014255168,HL (Higher Low)
84,2020-04-24 06:00:00,7433.0,7497.5,0.8677519171263285,HL (Higher Low)
85,2020-04-24 14:15:00,7497.5,7400.0,-1.3004334778259419,LL (Lower Low)
86,2020-04-25 00:45:00,7400.0,7437.0,0.5,HL (Higher Low)
87,2020-04-25 08:45:00,7437.0,7512.5,1.0151942987763884,HL (Higher Low)
88,2020-04-25 11:30:00,7512.5,7520.0,0.09983361064891848,HL (Higher Low)
89,2020-04-25 16:00:00,7520.0,7468.0,-0.6914893617021276,LL (Lower Low)
90,2020-04-25 21:45:00,7468.0,7497.0,0.3883235136582753,HL (Higher Low)
91,2020-04-26 06:00:00,7497.0,7524.5,0.36681339202347607,HL (Higher Low)
92,2020-04-26 15:00:00,7524.5,7496.0,-0.37876270848561366,LL (Lower Low)
93,2020-04-26 22:15:00,7496.0,7581.5,1.1406083244397012,HL (Higher Low)
94,2020-04-27 07:00:00,7581.5,7635.0,0.7056651058497658,HL (Higher Low)
95,2020-04-27 13:30:00,7635.0,7624.0,-0.1440733464309103,LL (Lower Low)
96,2020-04-27 17:30:00,7624.0,7642.0,0.236096537250787,HL (Higher Low)
