breakout_time,breakout_price,h1_price,h2_price,h3_price,test_h_name,test_h_price,test_time,test_result
2020-03-26 20:00:00,6713.0,6767.0,6751.0,6675.5,H3,6675.5,2020-03-26 20:30:00,돌파
2020-03-26 20:00:00,6713.0,6767.0,6751.0,6675.5,H2,6751.0,2020-03-26 20:00:00,저항
2020-03-26 20:00:00,6713.0,6767.0,6751.0,6675.5,H1,6767.0,2020-03-26 21:00:00,저항
2020-03-26 20:00:00,6713.0,6751.0,6675.5,6675.0,H3,6675.0,2020-03-26 20:30:00,돌파
2020-03-26 20:00:00,6713.0,6751.0,6675.5,6675.0,H2,6675.5,2020-03-26 20:30:00,돌파
2020-03-26 20:00:00,6713.0,6751.0,6675.5,6675.0,H1,6751.0,2020-03-26 20:00:00,저항
2020-03-30 11:15:00,6309.0,6686.5,6680.0,6300.0,H3,6300.0,2020-03-30 11:15:00,돌파
2020-03-30 11:15:00,6309.0,6686.5,6680.0,6300.0,H2,6680.0,2020-04-01 23:30:00,저항
2020-03-30 11:15:00,6309.0,6686.5,6680.0,6300.0,H1,6686.5,2020-04-01 23:30:00,저항
2020-03-30 07:00:00,6274.0,6680.0,6300.0,6268.0,H3,6268.0,2020-03-30 07:30:00,돌파
2020-03-30 07:00:00,6274.0,6680.0,6300.0,6268.0,H2,6300.0,2020-03-30 07:00:00,저항
2020-03-30 07:00:00,6274.0,6680.0,6300.0,6268.0,H1,6680.0,2020-04-01 23:30:00,저항
2020-03-30 05:00:00,6187.0,6247.0,6204.5,6153.5,H3,6153.5,2020-04-01 19:15:00,돌파
2020-03-30 05:00:00,6187.0,6247.0,6204.5,6153.5,H2,6204.5,2020-03-30 05:00:00,돌파
2020-03-30 05:00:00,6187.0,6247.0,6204.5,6153.5,H1,6247.0,2020-03-30 05:00:00,돌파
2020-04-01 22:15:00,6460.0,6494.5,6490.0,6372.0,H2,6490.0,2020-04-01 22:15:00,돌파
2020-04-01 22:15:00,6460.0,6494.5,6490.0,6372.0,H1,6494.5,2020-04-01 22:15:00,돌파
2020-04-01 21:00:00,6353.0,6490.0,6372.0,6333.0,H3,6333.0,2020-04-01 21:30:00,돌파
2020-04-01 21:00:00,6353.0,6490.0,6372.0,6333.0,H2,6372.0,2020-04-01 21:00:00,돌파
2020-04-01 21:00:00,6353.0,6490.0,6372.0,6333.0,H1,6490.0,2020-04-01 22:15:00,돌파
2020-04-04 09:45:00,6832.5,7044.0,6810.0,6801.5,H3,6801.5,2020-04-04 16:15:00,돌파
2020-04-04 09:45:00,6832.5,7044.0,6810.0,6801.5,H2,6810.0,2020-04-04 11:30:00,돌파
2020-04-04 09:45:00,6832.5,7044.0,6810.0,6801.5,H1,7044.0,2020-04-04 20:30:00,돌파
2020-04-04 08:45:00,6775.0,6810.0,6801.5,6764.5,H3,6764.5,2020-04-04 08:45:00,돌파
2020-04-04 08:45:00,6775.0,6810.0,6801.5,6764.5,H2,6801.5,2020-04-04 08:45:00,돌파
2020-04-04 08:45:00,6775.0,6810.0,6801.5,6764.5,H1,6810.0,2020-04-04 09:00:00,돌파
2020-04-06 00:15:00,6831.0,7012.0,6889.0,6820.0,H3,6820.0,2020-04-06 00:30:00,돌파
2020-04-06 00:15:00,6831.0,7012.0,6889.0,6820.0,H2,6889.0,2020-04-06 00:15:00,돌파
2020-04-06 00:15:00,6831.0,7012.0,6889.0,6820.0,H1,7012.0,2020-04-06 05:45:00,돌파
2020-04-12 14:30:00,6972.0,7342.5,7310.0,6943.0,H3,6943.0,2020-04-14 04:00:00,저항
2020-04-12 14:00:00,6938.5,7310.0,6943.0,6938.0,H3,6938.0,2020-04-12 14:00:00,돌파
2020-04-12 14:00:00,6938.5,7310.0,6943.0,6938.0,H2,6943.0,2020-04-12 14:00:00,돌파
2020-04-12 12:15:00,6898.0,6943.0,6938.0,6886.5,H3,6886.5,2020-04-12 12:15:00,돌파
2020-04-12 12:15:00,6898.0,6943.0,6938.0,6886.5,H2,6938.0,2020-04-12 12:30:00,돌파
2020-04-12 12:15:00,6898.0,6943.0,6938.0,6886.5,H1,6943.0,2020-04-12 12:30:00,돌파
2020-04-16 07:00:00,6862.5,6967.0,6924.5,6763.5,H2,6924.5,2020-04-16 07:30:00,돌파
2020-04-16 07:00:00,6862.5,6967.0,6924.5,6763.5,H1,6967.0,2020-04-16 07:15:00,돌파
