lh_num,lh_time,lh_price,lh_pct,bb_position,bb_squeeze,bb_width,trend_1h,trend_4h,short_score,long_score,short_ratio,long_ratio,judgment,result,max_gain,max_drop
1,2020-03-25 16:45:00,6695.5,-0.7412348973389715,upper_half,normal,3.0281863698009728,unknown,unknown,50,0,100.0,0.0,강력 숏,drop,1.0678814128892489,-2.08348891046225
2,2020-03-26 04:00:00,6751.0,-0.23644155460321725,upper_half,tight,1.6363821883505703,unknown,unknown,55,0,100.0,0.0,강력 숏,drop,-0.5925048141016132,-3.5402162642571455
3,2020-03-26 13:30:00,6675.5,-1.1183528366167983,above_upper,tight,0.8950601682754191,sideways,unknown,65,0,100.0,0.0,강력 숏,rise,2.434274586173313,-1.6927570968466754
4,2020-03-26 17:00:00,6675.0,-0.007490075649763117,above_upper,tight,1.184904888217588,uptrend,unknown,65,10,86.66666666666667,13.333333333333334,강력 숏,rise,2.441947565543079,-1.0037453183520562
5,2020-03-27 04:00:00,6821.5,-0.241298625329045,upper_half,tight,1.4510981557256104,sideways,unknown,55,0,100.0,0.0,강력 숏,drop,0.0,-3.64289379168804
6,2020-03-27 07:45:00,6720.0,-1.4879425346331465,upper_half,normal,3.474241799465728,sideways,unknown,50,0,100.0,0.0,강력 숏,drop,-0.2678571428571419,-2.187499999999998
7,2020-03-27 11:30:00,6686.5,-0.4985119047619002,upper_half,tight,1.2964621981975792,sideways,unknown,55,0,100.0,0.0,강력 숏,drop,-0.0972107978763126,-7.3356763628206085
8,2020-03-27 19:15:00,6680.0,-0.0972107978763126,above_upper,tight,1.1395968901212463,uptrend,unknown,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.059880239520959666,-8.914670658682633
9,2020-03-28 11:00:00,6300.0,-5.688622754491012,upper_half,normal,2.7960722599201975,sideways,unknown,50,0,100.0,0.0,강력 숏,drop,-0.1825396825396841,-4.6031746031745975
10,2020-03-28 15:00:00,6268.0,-0.5079365079365128,upper_half,tight,1.1941681388762033,uptrend,sideways,55,10,84.61538461538461,15.384615384615385,강력 숏,drop,0.3270580727504857,-4.116145500957247
11,2020-03-28 23:45:00,6247.0,-0.6599348016220086,upper_half,tight,1.2630450633405297,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,0.0,-3.0014406915319314
12,2020-03-29 10:45:00,6204.5,-0.680326556747235,above_upper,tight,1.6479385129923037,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.34652268514787643,-5.584656297848333
13,2020-03-29 16:15:00,6153.5,-0.8219840438391524,above_upper,tight,0.9727793016121212,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,1.0156821321199327,-5.070285203542701
14,2020-03-31 01:45:00,6509.5,-1.0338274420372495,upper_half,normal,2.7762861208284995,sideways,sideways,50,0,100.0,0.0,강력 숏,drop,0.0,-2.857362316614176
15,2020-03-31 08:30:00,6497.5,-0.184345955910592,above_upper,tight,1.5960137100603182,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,drop,-0.04617160446325208,-2.6779530588687983
16,2020-03-31 15:15:00,6494.5,-0.04617160446325208,upper_half,normal,2.587715701249511,sideways,sideways,50,0,100.0,0.0,강력 숏,drop,-0.06928939872199447,-3.8648086842713036
17,2020-03-31 20:00:00,6490.0,-0.06928939872199447,above_upper,tight,1.013906839278905,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,-0.1309707241910596,-3.798151001540828
18,2020-04-01 03:45:00,6372.0,-1.8181818181818188,upper_half,normal,3.17795661339558,sideways,sideways,50,0,100.0,0.0,강력 숏,drop,-0.1098556183301902,-3.5624607658505947
19,2020-04-01 12:00:00,6333.0,-0.6120527306967993,upper_half,tight,1.4458512683608953,sideways,sideways,55,0,100.0,0.0,강력 숏,drop,6.418758882046416,-2.968577293541763
20,2020-04-02 22:30:00,6859.5,-5.131042113270179,upper_half,normal,4.996898682989602,uptrend,sideways,50,10,83.33333333333334,16.666666666666664,강력 숏,rise,2.689700415482177,-1.9826517967781898
21,2020-04-03 02:30:00,6825.0,-0.5029521102121182,upper_half,tight,1.8443638151342117,sideways,downtrend,75,0,100.0,0.0,강력 숏,rise,3.2087912087912063,-1.978021978021982
22,2020-04-03 20:00:00,6810.0,-3.321976149914818,above_upper,normal,2.23830002848343,uptrend,sideways,60,10,85.71428571428571,14.285714285714285,강력 숏,drop,-0.12481644640235379,-2.1292217327459673
23,2020-04-04 01:00:00,6801.5,-0.12481644640235379,above_upper,tight,1.3578514295901296,sideways,sideways,65,0,100.0,0.0,강력 숏,drop,1.433507314562954,-2.2862603837388806
24,2020-04-04 05:30:00,6764.5,-0.543997647577743,upper_half,tight,1.540690766828392,uptrend,downtrend,75,10,88.23529411764706,11.76470588235294,강력 숏,sideways,1.9883213836942915,-1.7517924458570477
25,2020-04-04 17:00:00,6801.5,-1.413248296854619,above_upper,tight,1.760188732625692,uptrend,sideways,65,10,86.66666666666667,13.333333333333334,강력 숏,rise,3.094905535543635,-1.1541571712122334
26,2020-04-05 00:00:00,6889.0,-1.7541357672561375,upper_half,normal,2.544444934297315,sideways,sideways,50,0,100.0,0.0,강력 숏,drop,-0.05080563216722789,-2.1628683408332128
