entry_time,entry_price,exit_time,exit_price,exit_type,strategy,signal,pnl_pct
2023-01-01 16:15:00,16589.0,2023-01-02 16:15:00,16730.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.8499608174091264
2023-01-02 21:45:00,16752.0,2023-01-03 21:45:00,16662.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,-0.5372492836676217
2023-01-04 01:00:00,16692.0,2023-01-05 01:00:00,16817.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.7488617301701415
2023-01-05 15:00:00,16857.5,2023-01-06 13:15:00,16688.925,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000044
2023-01-06 13:30:00,16774.5,2023-01-06 20:15:00,17026.117499999997,TP,momentum,BB 찢고 큰 양봉,1.49999999999998
2023-01-07 14:30:00,16935.0,2023-01-08 14:30:00,16940.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.029524653085326247
2023-01-08 15:45:00,16990.0,2023-01-09 15:45:00,17259.5,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,1.5862271924661566
2023-01-09 16:00:00,17284.5,2023-01-10 16:00:00,17316.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.18224420723769852
2023-01-10 18:30:00,17391.5,2023-01-11 18:30:00,17468.0,Time Stop,aggressive,BB 상단 돌파 + RSI 강세,0.43987005146192104
2023-01-11 23:15:00,17629.5,2023-01-11 23:30:00,17982.09,TP,aggressive,BB 상단 돌파 + RSI 강세,2.000000000000001
2023-01-12 00:45:00,18259.0,2023-01-12 05:45:00,18076.41,SL,aggressive,BB 상단 돌파 + RSI 강세,-1.0000000000000007
2023-01-12 06:00:00,18112.5,2023-01-12 13:15:00,18293.625,TP,conservative,BB 하단 + RSI 과매도,1.0
2023-01-12 13:30:00,18146.0,2023-01-12 14:30:00,17964.54,SL,momentum,BB 찢고 큰 양봉,-0.9999999999999951
2023-01-12 15:00:00,18095.5,2023-01-12 17:30:00,18366.9325,TP,momentum,BB 찢고 큰 양봉,1.4999999999999944
2023-01-13 09:30:00,18877.0,2023-01-13 15:15:00,19254.54,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0000000000000044
2023-01-13 21:30:00,19750.0,2023-01-14 00:00:00,20145.0,TP,aggressive,BB 상단 돌파 + RSI 강세,2.0
2023-01-14 08:30:00,21032.0,2023-01-14 09:15:00,20821.68,SL,aggressive,BB 상단 돌파 + RSI 강세,-0.9999999999999987
2023-01-14 09:45:00,20536.5,2023-01-14 10:15:00,20331.135,SL,momentum,BB 찢고 큰 양봉,-1.0000000000000078
2023-01-14 10:30:00,20434.0,2023-01-14 11:00:00,20740.51,TP,momentum,BB 찢고 큰 양봉,1.4999999999999922
