type,trendline_H1,trendline_H2,trendline_H3,breakout_time,breakout_price,breakout_pct,trendline_L1,trendline_L2,trendline_L3
하락추세선 돌파 (상승),6767.0,6751.0,6675.5,2020-03-26 20:00:00,6725.0,0.7415174893266422,,,
하락추세선 돌파 (상승),6751.0,6675.5,6675.0,2020-03-26 20:00:00,6725.0,0.7490636704119851,,,
하락추세선 돌파 (상승),6680.0,6300.0,6268.0,2020-03-28 20:00:00,6271.0,0.047862156987874924,,,
하락추세선 돌파 (상승),6490.0,6372.0,6333.0,2020-04-01 20:45:00,6373.5,0.63950734249171,,,
하락추세선 돌파 (상승),7044.0,6810.0,6801.5,2020-04-04 09:45:00,6859.5,0.8527530691759171,,,
하락추세선 돌파 (상승),6810.0,6801.5,6764.5,2020-04-04 08:45:00,6775.0,0.1552221154556878,,,
하락추세선 돌파 (상승),7012.0,6889.0,6820.0,2020-04-05 17:45:00,6848.0,0.41055718475073316,,,
하락추세선 돌파 (상승),7155.0,7079.5,7060.5,2020-04-16 19:45:00,7091.5,0.4390623893491962,,,
하락추세선 돌파 (상승),7188.0,7119.5,7083.0,2020-04-17 23:15:00,7138.5,0.7835662854722576,,,
하락추세선 돌파 (상승),7289.0,7238.0,7161.0,2020-04-19 21:45:00,7195.0,0.47479402318111996,,,
하락추세선 돌파 (상승),6909.0,6894.0,6872.5,2020-04-21 17:45:00,6937.0,0.9385230993088396,,,
하락추세선 돌파 (상승),6937.0,6906.5,6879.0,2020-04-22 05:30:00,6885.0,0.08722197993894462,,,
하락추세선 돌파 (상승),7743.5,7611.0,7548.0,2020-04-24 07:30:00,7572.5,0.32458929517753043,,,
하락추세선 돌파 (상승),7608.5,7544.5,7542.0,2020-04-25 05:15:00,7544.0,0.026518164942985947,,,
하락추세선 돌파 (상승),7702.5,7698.5,7656.5,2020-04-26 23:15:00,7659.0,0.03265199503689675,,,
하락추세선 돌파 (상승),7791.5,7736.0,7722.5,2020-04-27 21:15:00,7733.5,0.14244091939138878,,,
하락추세선 돌파 (상승),7778.0,7760.0,7739.0,2020-04-28 22:45:00,7756.5,0.22612740664168496,,,
하락추세선 돌파 (상승),9458.0,8881.0,8834.0,2020-05-01 09:45:00,8855.0,0.2377179080824089,,,
하락추세선 돌파 (상승),9138.5,8956.5,8715.0,2020-05-04 12:15:00,8721.0,0.06884681583476765,,,
하락추세선 돌파 (상승),9105.5,8951.0,8930.0,2020-05-05 20:15:00,8957.0,0.3023516237402016,,,
하락추세선 돌파 (상승),9795.0,8898.5,8778.0,2020-05-10 22:45:00,8795.0,0.19366598313966735,,,
하락추세선 돌파 (상승),9158.5,8802.0,8777.0,2020-05-12 09:00:00,8830.5,0.6095476814401276,,,
하락추세선 돌파 (상승),9612.0,9530.0,9484.5,2020-05-16 04:45:00,9497.0,0.13179397965100956,,,
하락추세선 돌파 (상승),9529.5,9161.0,9112.0,2020-05-22 10:00:00,9185.5,0.8066286215978928,,,
하락추세선 돌파 (상승),9308.5,9262.5,9214.5,2020-05-23 20:30:00,9237.5,0.24960659829616366,,,
하락추세선 돌파 (상승),9295.0,9077.0,8876.5,2020-05-25 17:30:00,8888.5,0.13518841885878444,,,
하락추세선 돌파 (상승),9077.0,8876.5,8856.0,2020-05-25 17:30:00,8888.5,0.3669828364950316,,,
하락추세선 돌파 (상승),9478.0,9452.5,9447.5,2020-05-30 04:15:00,9496.0,0.5133633236305901,,,
하락추세선 돌파 (상승),9599.0,9579.0,9569.0,2020-05-30 22:15:00,9570.0,0.010450412791305257,,,
하락추세선 돌파 (상승),9633.5,9610.0,9574.0,2020-06-01 12:30:00,9587.5,0.1410068936703572,,,
하락추세선 돌파 (상승),9693.5,9685.0,9660.5,2020-06-04 12:15:00,9685.5,0.2587857771336887,,,
하락추세선 돌파 (상승),9851.5,9753.5,9644.0,2020-06-06 09:00:00,9683.0,0.40439651596847787,,,
하락추세선 돌파 (상승),9730.0,9715.5,9701.0,2020-06-07 04:00:00,9710.0,0.09277394083084219,,,
하락추세선 돌파 (상승),9807.5,9776.0,9751.0,2020-06-08 09:15:00,9799.0,0.49225720438929343,,,
하락추세선 돌파 (상승),9810.0,9780.0,9770.0,2020-06-10 16:45:00,9776.5,0.06653019447287616,,,
하락추세선 돌파 (상승),9550.0,9464.0,9461.5,2020-06-13 19:30:00,9494.0,0.34349733128996457,,,
하락추세선 돌파 (상승),9437.5,9411.0,9167.5,2020-06-15 13:45:00,9192.0,0.26724843196073084,,,
하락추세선 돌파 (상승),9419.0,9355.0,9346.5,2020-06-20 11:15:00,9380.0,0.35842293906810035,,,
하락추세선 돌파 (상승),9252.0,9233.5,9185.0,2020-06-27 06:30:00,9194.0,0.0979858464888405,,,
